SKU,MissingValue,DefaultApplied
HBG103350BEI,Length - in,3.15
HBG103350BR,Length - in,3.15
HBG103350GY,Length - in,3.15
HBG103350R,Length - in,3.15
HW00717BL,Length - in,3.15
HW00717YL,Length - in,3.15
HBG104960B,Length - in,3.15
HBG104960S,Length - in,3.15
HBG104369B,Length - in,3.15
HBG104369CH,Length - in,3.15
HBG104369G,Length - in,3.15
HBG104369S,Length - in,3.15
HL00471,Length - in,3.15
HBG103961B,Length - in,3.15
HBG103961BR,Length - in,3.15
HBG104693B,Length - in,3.15
HBG104693BEI,Length - in,3.15
HBG104693FU,Length - in,3.15
HBG104693GR,Length - in,3.15
HBG104693R,Length - in,3.15
HBG104693W,Length - in,3.15
HBG104048B,Length - in,3.15
HBG104048OR,Length - in,3.15
HBG104048R,Length - in,3.15
HBG104048W,Length - in,3.15
HBG104048YL,Length - in,3.15
HW00808AB,Length - in,3.15
HW00808BL,Length - in,3.15
HW00808CH,Length - in,3.15
HW00808CL,Length - in,3.15
HW00808GUN,Length - in,3.15
HW00808PN,Length - in,3.15
HBG103894RG,Length - in,3.15
HBG103894S,Length - in,3.15
HBG103557MU,Width - in,3.15
HBG103557OR,Width - in,3.15
HBG103672B,Width - in,3.15
HBG103672BEI,Width - in,3.15
HBG103672CA,Width - in,3.15
HBG104042B,Width - in,3.15
HBG104042W,Width - in,3.15
HBG104042YL,Width - in,3.15
HBG103971B,Width - in,3.15
HBG103971KH,Width - in,3.15
HBG103971PN,Width - in,3.15
HBG103971R,Width - in,3.15
HBG103971YL,Width - in,3.15
HBG103924B,Width - in,3.15
HBG103924BEI,Width - in,3.15
HBG103924BR,Width - in,3.15
HBG104052B,Width - in,3.15
HBG104052BEI,Width - in,3.15
HBG104052GR,Width - in,3.15
HBG104052MU,Width - in,3.15
HBG103390B,Width - in,3.15
HBG103390BEI,Width - in,3.15
HBG103390GY,Width - in,3.15
HBG103673B,Width - in,3.15
HBG103673BEI,Width - in,3.15
HBG103673CA,Width - in,3.15
HBG103555B,Width - in,3.15
HBG103555BEI,Width - in,3.15
HBG103555R,Width - in,3.15
HBG103555YL,Width - in,3.15
HBG103641B,Width - in,3.15
HBG103641GY,Width - in,3.15
HBG103641MA,Width - in,3.15
HBG103641PC,Width - in,3.15
HBG103641PN,Width - in,3.15
HBG103641R,Width - in,3.15
HM00466,Width - in,3.15
HBG103351B,Width - in,3.15
HBG103351BEI,Width - in,3.15
HBG103351GR,Width - in,3.15
HBG103351R,Width - in,3.15
HBG104293B,Width - in,3.15
HBG104293BEI,Width - in,3.15
HBG104293FU,Width - in,3.15
HBG104293GR,Width - in,3.15
HBG104293R,Width - in,3.15
HBG104890B,Width - in,3.15
HBG104890BEI,Width - in,3.15
HBG104890BL,Width - in,3.15
HBG104890FU,Width - in,3.15
HBG104890GR,Width - in,3.15
HBG104890W,Width - in,3.15
HBG103674BEI,Width - in,3.15
HBG103674BW,Width - in,3.15
HBG103674GR,Width - in,3.15
HBG103674OR,Width - in,3.15
HBG103962B,Width - in,3.15
HBG103962BEI,Width - in,3.15
HBG103962BZ,Width - in,3.15
HBG103388B,Width - in,3.15
HBG103388BEI,Width - in,3.15
HBG103388BL,Width - in,3.15
HBG103388BR,Width - in,3.15
HBG103388YL,Width - in,3.15
HBG103917G,Width - in,3.15
HBG103917GR,Width - in,3.15
HBG103917S,Width - in,3.15
HBG103917W,Width - in,3.15
HBG103550B,Width - in,3.15
HBG103550CA,Width - in,3.15
HBG103550GR,Width - in,3.15
HBG103550W,Width - in,3.15
HBG103622GY,Width - in,3.15
HBG103622PN,Width - in,3.15
HBG103622W,Width - in,3.15
